时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2025/10/17 17:37:36,日常账本,支出,购物,,-3.88,微信钱包,,核桃刷
2025/10/17 15:48:38,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/10/17 10:10:13,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/10/16 17:15:29,日常账本,支出,餐饮,,-12.17,微信钱包,,称重快餐
2025/10/16 10:42:07,日常账本,支出,饮品,,-9.0,微信钱包,,农夫山泉和冰茶
2025/10/16 10:08:24,日常账本,支出,餐饮,,-13.11,微信钱包,,称重快餐
2025/10/15 17:05:15,日常账本,支出,餐饮,,-36.0,微信钱包,,烤肥牛堡
2025/10/15 10:07:39,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/10/14 20:57:48,日常账本,支出,饮品,矿泉水,-4.0,微信钱包,,农夫山泉
2025/10/14 20:47:44,日常账本,支出,餐饮,,-16.0,微信钱包,,香锅
2025/10/14 10:10:27,日常账本,支出,餐饮,,-17.3,微信钱包,,香辣牛肉炒饭
2025/10/13 19:04:02,日常账本,支出,饮品,饮料,-8.0,微信钱包,,海之言和彩虹糖
2025/10/13 18:52:20,日常账本,支出,餐饮,,-6.0,微信钱包,,麦香馅饼
2025/10/13 15:46:20,日常账本,支出,其它,,-5.0,微信钱包,,洗衣服
2025/10/13 13:41:39,日常账本,支出,餐饮,,-21.9,微信钱包,,塔斯汀
2025/10/13 12:33:44,日常账本,收入,其他,流量卡,188.0,支付宝,,流量卡
2025/10/13 07:16:45,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/10/13 02:56:57,日常账本,支出,交通,共享单车,-1.5,中信银行,,
2025/10/13 02:40:57,日常账本,支出,交通,打车,-14.39,支付宝,,高德打车
2025/10/13 02:32:52,日常账本,支出,娱乐,放松,-192.34,微信钱包,,航天城
2025/10/12 23:08:32,日常账本,支出,娱乐,网吧,-60.0,微信钱包,,网吧a钱
2025/10/12 20:09:25,日常账本,支出,娱乐,网吧,-25.8,微信钱包,,卓威电竞（常宁宫店）-美团微信小程序-25101211100400001302974378024778
2025/10/12 18:26:15,日常账本,支出,零食,,-12.0,微信钱包,,水溶c100和瑞士卷
2025/10/12 17:17:26,日常账本,支出,交通,,-30.0,微信钱包,,微付充科技
2025/10/11 19:21:38,日常账本,支出,购物,,-1.99,支付宝,,【直充秒到】夸克网盘超级会员svip天卡夸克超级会员一天直充
2025/10/11 15:34:07,日常账本,支出,餐饮,,-4.9,微信钱包,,手抓饼
2025/10/11 14:26:19,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/10/11 11:05:08,日常账本,支出,住房,水费,-20.0,支付宝,,水卡
2025/10/10 19:51:33,日常账本,支出,饮品,矿泉水,-5.0,微信钱包,,农夫山泉
2025/10/10 19:50:12,日常账本,支出,餐饮,,-18.8,微信钱包,,香锅
2025/10/10 11:37:54,日常账本,支出,饮品,矿泉水,-6.0,微信钱包,,农夫山泉和一根肠
2025/10/10 11:37:12,日常账本,支出,餐饮,,-11.3,微信钱包,,快餐
2025/10/09 17:46:27,日常账本,支出,零食,,-14.7,微信钱包,,培华便利岛超市
2025/10/09 17:38:42,日常账本,支出,零食,,-2.0,微信钱包,,红肠
2025/10/09 17:18:36,日常账本,支出,餐饮,,-17.4,微信钱包,,香锅
2025/10/09 10:13:46,日常账本,支出,餐饮,,-13.0,微信钱包,,拌饭
2025/10/08 20:09:13,日常账本,支出,零食,,-3.0,微信钱包,,肉肠
2025/10/08 19:52:13,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/10/08 12:19:20,日常账本,支出,饮品,矿泉水,-4.0,微信钱包,,农夫山泉
2025/10/08 12:09:37,日常账本,支出,餐饮,,-23.9,微信钱包,,塔斯汀
2025/10/07 21:17:24,日常账本,支出,饮品,矿泉水,-5.0,微信钱包,,农夫山泉
2025/10/07 20:23:33,日常账本,支出,餐饮,,-18.0,微信钱包,,西安市福顺源牛肉块面牛肉粉
2025/10/07 20:12:18,日常账本,支出,日用,卫生纸,-1.0,微信钱包,,小包纸
2025/10/07 12:44:52,日常账本,支出,饮品,饮料,-5.0,微信钱包,,冰茶
2025/10/05 13:00:52,日常账本,收入,A钱,,13.0,微信钱包,,
2025/10/05 12:59:54,日常账本,支出,购物,,-12.9,微信钱包,,文玩核桃刷
2025/10/05 12:58:10,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/10/04 20:02:30,日常账本,支出,餐饮,,-26.3,支付宝,,米村拌饭(西咸吾悦广场店)外卖订单
2025/10/04 12:58:56,日常账本,收入,火影租号,,51.92,支付宝,,U号租余额提现
2025/10/04 11:24:39,日常账本,支出,餐饮,,-26.6,支付宝,,华莱士·全鸡汉堡(沣东实验小学店)外卖订单
2025/10/03 18:10:38,日常账本,支出,餐饮,,-21.77,支付宝,,延边延米餐饮管理有限公司
2025/10/03 17:48:47,日常账本,支出,交通,,-30.0,微信钱包,,公交卡充值
2025/10/03 11:25:08,日常账本,支出,餐饮,,-19.9,支付宝,,喜赞·轻食沙拉·健康餐(西咸吾悦店)外卖订单
2025/10/03 11:16:43,日常账本,支出,游戏,,-11.0,微信钱包,,Q币
2025/10/02 19:59:11,日常账本,支出,饮品,饮料,-12.8,微信钱包,,苏打水
2025/10/02 19:31:50,日常账本,支出,餐饮,,-35.0,微信钱包,,池奈（沣东吾悦广场店）
2025/10/02 12:28:25,日常账本,支出,餐饮,,-23.1,支付宝,,海底捞·拌饭(西安吾悦广场店)外卖订单
2025/10/01 18:09:50,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/10/01 10:44:28,日常账本,支出,饮品,饮料,-4.0,微信钱包,,营养快线
2025/10/01 10:43:13,日常账本,支出,餐饮,,-18.9,微信钱包,,香锅
2025/09/30 18:06:47,日常账本,支出,餐饮,,-58.0,微信钱包,,魏斯理汉堡
2025/09/30 14:18:41,日常账本,收入,红包,,0.36,微信钱包,,嘟嘟嘟JIMILIMITADA的红包
2025/09/30 11:27:25,日常账本,收入,红包,,0.43,微信钱包,,浅笑安然的红包
2025/09/30 11:24:41,日常账本,收入,红包,,0.01,微信钱包,,NULL的红包
2025/09/30 10:19:06,日常账本,支出,餐饮,,-3.5,微信钱包,,包子
2025/09/30 10:10:22,日常账本,支出,饮品,饮料,-4.5,微信钱包,,可乐
2025/09/30 09:07:08,日常账本,支出,零食,,-2.0,微信钱包,,肠
2025/09/30 07:56:42,日常账本,支出,购物,,-1.9,微信钱包,,双鱼复印店
2025/09/29 19:38:59,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/29 13:20:33,日常账本,支出,零食,,-3.0,微信钱包,,肉肠
2025/09/29 13:06:21,日常账本,支出,餐饮,,-13.5,微信钱包,,香锅
2025/09/29 13:04:01,日常账本,支出,饮品,饮料,-4.92,支付宝,,冰茶
2025/09/29 12:45:28,日常账本,收入,生活费,,1500.0,微信钱包,,
2025/09/28 19:13:03,日常账本,支出,零食,,-5.02,支付宝,,冰茶和零食
2025/09/28 19:09:24,日常账本,支出,零食,,-3.0,微信钱包,,西安培华学院肉肠
2025/09/28 18:56:55,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/28 10:30:12,日常账本,支出,饮品,饮料,-3.5,微信钱包,,可乐
2025/09/28 10:28:48,日常账本,支出,餐饮,,-17.0,微信钱包,,炒菜 西兰花牛肉
2025/09/27 19:00:33,日常账本,支出,餐饮,,-22.0,微信钱包,,魏家凉皮
2025/09/26 15:55:40,日常账本,支出,交通,,-30.0,微信钱包,,公交卡充值
2025/09/26 12:09:52,日常账本,支出,餐饮,,-20.1,微信钱包,,沙拉
2025/09/26 11:31:22,日常账本,支出,购物,,-0.7,微信钱包,,双鱼复印店
2025/09/25 19:43:33,日常账本,支出,饮品,矿泉水,-6.0,微信钱包,,农夫山泉
2025/09/25 19:37:48,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/25 13:11:47,日常账本,支出,饮品,饮料,-4.7,支付宝,,冰茶
2025/09/25 13:08:56,日常账本,支出,零食,,-2.0,微信钱包,,玉米肠
2025/09/25 12:50:38,日常账本,支出,餐饮,,-12.5,微信钱包,,香锅
2025/09/25 11:32:30,日常账本,支出,其它,,-2.7,支付宝,,学习
2025/09/25 10:13:29,日常账本,支出,购物,,-3.5,微信钱包,,双鱼复印店
2025/09/24 19:17:57,日常账本,支出,饮品,饮料,-4.5,微信钱包,,可乐
2025/09/24 19:06:10,日常账本,支出,购物,,-3.5,微信钱包,,打印
2025/09/24 19:01:40,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/24 13:55:04,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/09/24 13:15:07,日常账本,支出,游戏,,-50.0,微信钱包,,深圳市腾讯天游科技有限公司
2025/09/24 00:11:51,日常账本,支出,住房,电费,-12.5,微信钱包,,学校电费
2025/09/23 21:17:55,日常账本,支出,住房,水费,-19.92,支付宝,,学校水卡
2025/09/23 19:53:57,日常账本,支出,餐饮,,-3.0,微信钱包,,包子和茶叶蛋
2025/09/23 19:45:06,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/23 13:18:28,日常账本,支出,零食,,-4.0,微信钱包,,卤蛋
2025/09/23 13:15:28,日常账本,支出,餐饮,,-16.0,微信钱包,,炒菜 包菜肉卷
2025/09/23 10:57:58,日常账本,收入,零钱通,,1.0,微信钱包,,
2025/09/23 10:04:41,日常账本,支出,游戏,,-146.0,微信钱包,,火影忍法帖
2025/09/22 20:05:38,日常账本,支出,通讯,,-5.0,支付宝,,阿里云
2025/09/22 18:26:59,日常账本,支出,餐饮,,-14.7,微信钱包,,沙拉
2025/09/22 13:14:40,日常账本,支出,饮品,矿泉水,-6.0,微信钱包,,农夫山泉
2025/09/22 12:51:03,日常账本,支出,餐饮,,-13.8,微信钱包,,烧鸭饭
2025/09/21 20:12:42,日常账本,支出,零食,,-8.0,微信钱包,,可口可乐和薯片
2025/09/21 20:07:06,日常账本,支出,零食,,-3.0,微信钱包,,肉肠
2025/09/21 19:53:26,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/19 18:52:56,日常账本,支出,发型,,-199.0,中信银行,,理发店刷好评
2025/09/19 18:43:57,日常账本,支出,发型,,-30.0,微信钱包,,理发店刷好评
2025/09/19 18:43:39,日常账本,收入,其他,,230.0,微信钱包,,理发店刷好评
2025/09/19 17:35:29,日常账本,支出,零食,,-6.0,微信钱包,,煎饺
2025/09/19 15:39:54,日常账本,支出,交通,,-30.0,微信钱包,,公交卡充值
2025/09/19 13:08:13,日常账本,支出,餐饮,,-6.0,微信钱包,,麦香馅饼
2025/09/19 09:15:59,日常账本,收入,任推邦,,45.69,中信银行,,网盘推广
2025/09/18 19:19:52,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/18 13:20:37,日常账本,收入,红包,,0.16,微信钱包,,嘟嘟嘟JIMILIMITADA的红包
2025/09/18 13:20:13,日常账本,支出,饮品,矿泉水,-3.0,微信钱包,,百岁山
2025/09/18 13:18:09,日常账本,支出,餐饮,,-14.2,微信钱包,,沙拉
2025/09/18 10:22:24,日常账本,收入,红包,,0.73,微信钱包,,嘟嘟嘟JIMILIMITADA的红包
2025/09/17 21:14:35,日常账本,支出,饮品,,-9.0,微信钱包,,矿泉水四块，饮料五块
2025/09/17 21:10:29,日常账本,支出,零食,,-2.0,微信钱包,,玉米肠
2025/09/17 13:20:18,日常账本,支出,餐饮,,-23.0,微信钱包,,烤鸡翅
2025/09/17 13:20:07,日常账本,支出,餐饮,,-36.0,微信钱包,,烤肥牛堡
2025/09/16 21:17:30,日常账本,支出,餐饮,,-6.0,微信钱包,,饼
