时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2024/12/21 10:13:06,日常账本,收入,其他,,0.24,中信银行,,利息
2024/12/21 09:50:14,日常账本,支出,购物,,-666.33,中信银行,,买手机分期
2024/12/20 22:57:44,日常账本,支出,游戏,,-6.0,微信钱包,,深圳市腾讯天游科技有限公司
2024/12/20 18:26:43,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/20 18:19:24,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/20 16:47:09,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/20 16:39:20,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/20 12:50:48,日常账本,收入,红包,,2.29,微信钱包,,宋红康的红包
2024/12/20 12:29:30,日常账本,支出,餐饮,,-13.0,微信钱包,,麻辣拌
2024/12/20 12:20:32,日常账本,支出,购物,,-1000.0,中信银行,,手机还白条
2024/12/20 12:13:07,日常账本,支出,其它,,-5.0,微信钱包,,云裳物联
2024/12/20 10:07:21,日常账本,支出,餐饮,,-11.0,微信钱包,,早餐
2024/12/19 21:56:02,日常账本,收入,红包,,0.25,微信钱包,,JIMILIMITADA的红包
2024/12/19 21:28:58,日常账本,收入,咸鱼收入,,1.5,支付宝,,**兴
2024/12/19 18:33:01,日常账本,支出,饮品,,-5.0,微信钱包,,西安培华学院
2024/12/19 18:32:11,日常账本,支出,水果捞,,-13.7,微信钱包,,商户_张春燕
2024/12/19 18:17:46,日常账本,支出,餐饮,,-13.0,微信钱包,,木桶饭
2024/12/19 12:10:54,日常账本,支出,餐饮,,-3.0,微信钱包,,肉肠
2024/12/19 12:03:05,日常账本,支出,餐饮,,-11.0,微信钱包,,快餐
2024/12/19 10:44:12,日常账本,收入,咸鱼收入,,1.0,支付宝,,限时低价0.01折!只须一元!
2024/12/19 09:03:42,日常账本,支出,餐饮,,-3.5,微信钱包,,西安培华学院
2024/12/18 19:00:31,日常账本,支出,餐饮,,-15.12,微信钱包,,冒菜
2024/12/18 18:14:01,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 18:10:00,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 18:05:47,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 18:00:54,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 16:56:49,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 16:48:37,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 16:43:31,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 16:22:34,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 15:19:51,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 15:13:44,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 14:16:44,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 13:52:54,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 13:44:06,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 12:33:34,日常账本,支出,餐饮,,-15.0,微信钱包,,炸鸡咖喱
2024/12/18 11:30:50,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/18 10:09:28,日常账本,支出,饮品,,-4.64,支付宝,,学子超市
2024/12/18 10:05:54,日常账本,支出,餐饮,,-5.0,微信钱包,,麦香馅饼
2024/12/17 19:42:46,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/17 18:34:29,日常账本,支出,餐饮,,-17.0,微信钱包,,炒菜
2024/12/17 18:30:22,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/17 17:22:13,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/17 16:55:14,日常账本,收入,火影租号,,16.8,微信钱包,,
2024/12/17 16:52:59,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/17 15:47:06,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/17 12:23:06,日常账本,支出,其它,,-2.6,微信钱包,,留白打印
2024/12/17 12:20:14,日常账本,支出,饮品,,-4.1,支付宝,,凡花不入眼
2024/12/17 12:18:24,日常账本,支出,餐饮,,-3.0,微信钱包,,肉肠
2024/12/17 12:05:48,日常账本,支出,餐饮,,-13.0,微信钱包,,快餐
2024/12/17 09:07:50,日常账本,支出,餐饮,,-3.5,微信钱包,,
2024/12/16 19:18:31,日常账本,支出,零食,,-2.55,支付宝,,酸奶
2024/12/16 18:52:33,日常账本,支出,餐饮,,-18.0,微信钱包,,牛肉丸子汤+小笼包
2024/12/16 17:20:46,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/16 14:57:37,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/16 14:08:41,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/16 12:30:50,日常账本,支出,餐饮,,-2.0,微信钱包,,红肠
2024/12/16 12:29:51,日常账本,支出,饮品,,-2.5,支付宝,,凡花不入眼
2024/12/16 12:16:02,日常账本,支出,餐饮,,-15.0,微信钱包,,叉烧饭
2024/12/16 11:09:54,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/16 11:04:56,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/16 09:04:36,日常账本,支出,餐饮,,-3.5,微信钱包,,西安培华学院
2024/12/15 18:47:35,日常账本,支出,饮品,,-6.34,支付宝,,学子超市
2024/12/15 18:44:32,日常账本,支出,餐饮,,-15.5,微信钱包,,炸鸡咖喱
2024/12/15 16:15:17,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/15 10:48:55,日常账本,支出,餐饮,,-5.0,微信钱包,,宫廷香酥牛肉饼
2024/12/14 12:15:46,日常账本,收入,咸鱼收入,,1.0,支付宝,,Go开发工程师全套资料，项目源码+视频教程，入门到高级全覆盖
2024/12/14 10:44:31,日常账本,支出,餐饮,,-5.0,微信钱包,,宫廷香酥牛肉饼
